,0
aace-0_38.0_0073040avulsoscx001e050-01,aace-0_38.0_0073040avulsoscx001e050-01 | aace-0_56.0_007MFCOPACABANAPRTP
aacg-0_58.0_007_IMG_1857,aacg-0_58.0_007_IMG_1857 | aacg-0_68.0_007_IMG_3942
aacl-0_63.0_007_IMG_3427,aacl-0_63.0_007_IMG_3427 | aacl-34_62.0_007CX021-02
aaco-0_66.0_007_IMG_3593,aaco-0_57.0_007_IMG_1856 | aaco-0_66.0_007_IMG_3593
aacs-0_70.0_013RJ001003,aacs-0_70.0_002095RJ001034 | aacs-0_70.0_013RJ001003
aacu-0_72.0_013RJ007011,aacu-0_72.0_013RJ007011 | aacu-0_72.0_013RJ011056
abae-2_0.0_001ACL017033,abae-1_4.0_001ACL019017 | abae-2_0.0_001ACL017033 | abae-67_45.0_P002SAm52-0072
acbg-2_32.0_0072137cx014-08,acbg-2_32.0_0072137cx014-08
adcx-3_81.0_007_IMG_3265,adcx-3_75.0_007CX026-04 | adcx-3_80.0_007_IMG_2008 | adcx-3_81.0_007_IMG_3265
aeay-4_24.0_007A5P3F13-021,aeay-4_11.0_001RR010 | aeay-4_24.0_007A5P3F13-021 | aeay-4_48.0_P002SAm52-0016
agbb-6_27.0_002080RJ3517,agbb-6_27.0_002080RJ3517
agbm-6_38.0_013RJ012031,agbm-6_38.0_013RJ001015 | agbm-6_38.0_013RJ012031
agbn-62_80.0_013RJ011032,agbn-62_80.0_013RJ011032 | agbn-6_39.0_013RJ007027
agbo-62_26.0_002057TP006,agbo-62_26.0_002057TP006 | agbo-6_40.0_013RJ012004
ahdm-7_90.0_007_IMG_1998,ahdm-7_89.0_007_IMG_1989 | ahdm-7_90.0_007_IMG_1998
ahei-7_112.0_007MFLS030,ahei-7_112.0_007MFLS030 | ahei-7_112.0_007_IMG_4060
aiaa-66_94.0_014GLAS064,aiaa-66_94.0_014GLAS064 | aiaa-8_0.0_001ACL017023
alau-11_20.0_002057TP001,alau-11_20.0_002057TP001 | alau-11_20.0_013RJ012002
amba-12_38.0_014GLAS100,amba-12_38.0_014GLAS100
anbc-13_28.0_002073LM001,anbc-13_28.0_002073LM001
andc-31_87.0_007_IMG_3533,andc-13_80.0_007_IMG_3434 | andc-31_87.0_007_IMG_3533
ands-13_96.0_013RJ012063,ands-13_96.0_013RJ011015 | ands-13_96.0_013RJ012063
aoad-66_101.0_014GLAS104,aoad-14_3.0_001ACL017011 | aoad-53_8.0_002058aFR031 | aoad-66_101.0_014GLAS104
asag-18_11.0_002080RJ4607,asag-18_11.0_002080RJ4607 | asag-18_6.0_002080RJ1915
asaz-18_25.0_002080Vol02Cx0601,asaz-18_25.0_002080Vol02Cx0601 | asaz-18_9.0_002080RJ2513
asbv-18_47.0_007_IMG_2896,asbv-18_47.0_007CX191-03 | asbv-18_47.0_007_IMG_2896
ascp-18_67.0_013RJ001012,ascp-18_67.0_013RJ001012
atby-19_50.0_007CX184-03,atby-19_50.0_007CX184-03 | atby-19_51.0_007CX190-06
atcf-19_57.0_007_IMG_2902,atcf-19_57.0_007_IMG_2902 | atcf-3_82.0_007_IMG_3290 | atcf-3_83.0_007_IMG_3300
aucd-20_55.0_013RJ011036,aucd-20_55.0_013RJ007028 | aucd-20_55.0_013RJ011036
aucg-20_58.0_013RJ001007,aucg-20_58.0_013RJ001007 | aucg-20_58.0_013RJ012050
awaa-22_46.0_007A5P3FG05-015,awaa-22_0.0_001ACL017031 | awaa-22_46.0_007A5P3FG05-015 | awaa-67_35.0_014GLAS069 | awaa-74_4.0_001ACL019016 | awaa-74_41.0_007A5P3FG05-014
awaa-67_35.0_014GLAS069,awaa-22_0.0_001ACL017031 | awaa-22_46.0_007A5P3FG05-015 | awaa-67_35.0_014GLAS069 | awaa-74_4.0_001ACL019016 | awaa-74_41.0_007A5P3FG05-014
awcr-22_69.0_007_IMG_4022,awcr-22_69.0_007_IMG_4018 | awcr-22_69.0_007_IMG_4022
awdl-22_89.0_014AM005010,awdl-22_89.0_002095RJ002003 | awdl-22_89.0_014AM005010
ayal-24_11.0_0071824cx007-09,ayal-24_11.0_0071824cx007-09 | ayal-24_4.0_001MF014006
aybe-24_30.0_0071824cx043a-12,aybe-24_30.0_0071824cx043a-12 | aybe-36_1.0_001MF015011
ayca-24_9.0_0071530cx005-06,ayca-24_52.0_007A5P4F05-011a013 | ayca-24_9.0_0071530cx005-06
aycc-73_5.0_001ACL017030,aycc-24_54.0_007A5P4FP04-025 | aycc-73_5.0_001ACL017030
bbbr-19_49.0_007CX183-06,bbbr-19_49.0_007CX183-06 | bbbr-27_43.0_007_IMG_3544
bdbp-29_6.0_0071824cx001-04,bdbp-29_41.0_P002SAm52-0028 | bdbp-29_6.0_0071824cx001-04
bebj-30_36.0_007AFAV09-21,bebj-14_50.0_007AFAV09-19 | bebj-30_35.0_007A5P4FP04-017 | bebj-30_36.0_007AFAV09-21 | bebj-64_52.0_007A6P1A02-014 | bebj-66_106.0_014GLAS110
bebl-30_37.0_007_IMG_4055,bebl-30_37.0_007MFLS022 | bebl-30_37.0_007_IMG_4055
bfay-31_24.0_002080Vol01Cx0119,bfay-29_1.0_002080RJ4616 | bfay-31_24.0_002080RJ2509 | bfay-31_24.0_002080Vol01Cx0119
bfcq-31_68.0_007CX173-14,bfcq-31_68.0_007CX173-14 | bfcq-31_68.0_007_IMG_2982
bfcs-31_70.0_007CX182-02,bfcs-31_70.0_007CX182-02 | bfcs-51_101.0_007_IMG_3889
bfdh-28_44.0_007_IMG_3437,bfdh-28_44.0_007_IMG_3437 | bfdh-31_85.0_007_IMG_3435
bhad-33_3.0_002058aFR006,bhad-33_3.0_002058aFR006 | bhad-33_3.0_007A5P4FP04-001 | bhad-62_1.0_001ACL017007 | bhad-62_2.0_001ACL019093
bham-33_12.0_002095RJ002009,bham-33_12.0_002095RJ002008 | bham-33_12.0_002095RJ002009
bhbe-33_30.0_0071824cx038-11,bhbe-22_6.0_001MF014009 | bhbe-33_30.0_0071824cx038-11
biah-34_7.0_002014RJRJ004,biah-34_7.0_002014RJRJ004 | biah-61_10.0_001LN001002
biaj-73_82.0_014GL42,biaj-34_9.0_002058aFR013 | biaj-56_6.0_007A5P4FP04-019 | biaj-73_82.0_014GL42
bicl-34_63.0_007CX021-06,bicl-11_13.0_007CX190-02 | bicl-34_63.0_007CX021-06 | bicl-34_66.0_007_IMG_2159
bjdu-74_75.0_013RJ011060,bjdu-35_98.0_013RJ007019 | bjdu-74_75.0_013RJ011060
bkan-36_13.0_014GL40,bkan-36_13.0_014GL40
bpbu-41_46.0_0072430cx097-10,bpbu-13_113.0_P002SAm52-0025 | bpbu-41_46.0_0072430cx097-10
bpcd-41_55.0_007A5P4F01-009,bpcd-41_55.0_007A5P4F01-009 | bpcd-51_61.0_007A5P3F10-010
bpcj-41_61.0_007CX197-02,bpcj-41_61.0_007CX197-02 | bpcj-41_61.0_007CX197-03
bpcv-41_73.0_013RJ012032,bpcv-41_73.0_013RJ001014 | bpcv-41_73.0_013RJ012032
bqbv-42_21.0_0071824cx070-12,bqbv-42_21.0_0071824cx070-12 | bqbv-42_47.0_P002SAm52-0031
bubh-46_33.0_007CX173-09,bubh-46_33.0_007CX173-09 | bubh-46_33.0_007CX173-10 | bubh-46_47.0_007_IMG_2967 | bubh-46_50.0_007_IMG_3175
bubj-46_35.0_007CX178-08,bubj-46_35.0_007CX178-08 | bubj-46_35.0_007_IMG_3294
bubt-46_45.0_007_IMG_3540,bubt-46_45.0_007_IMG_2906 | bubt-46_45.0_007_IMG_3540
bubw-46_48.0_007_IMG_2969,bubw-46_48.0_007_IMG_2969 | bubw-46_48.0_007_IMG_3298
bucf-46_57.0_007_IMG_3536,bucf-37_21.0_007_IMG_3347 | bucf-46_54.0_007_IMG_3312 | bucf-46_57.0_007_IMG_3536
bvbq-47_42.0_007_IMG_3113,bvbq-47_42.0_007_IMG_3113 | bvbq-53_24.0_002080Vol09Env0301
bvbw-47_48.0_007_IMG_4057,bvbw-47_48.0_007MFLS023 | bvbw-47_48.0_007_IMG_4057
bvcf-47_57.0_014AM003015,bvcf-21_76.0_013RJ011063 | bvcf-47_57.0_014AM003015 | bvcf-59_106.0_014AM003002
bwbq-48_42.0_0071824cx038-09,bwbq-48_42.0_0071824cx038-09 | bwbq-7_124.0_014MF014016
bwdx-48_101.0_007_IMG_4081,bwdx-48_101.0_007_IMG_4080 | bwdx-48_101.0_007_IMG_4081
bweg-48_110.0_007_IMG_2011,bweg-48_110.0_007CX190-11 | bweg-48_110.0_007_IMG_2011
bwek-48_114.0_007_IMG_2898,bwek-48_114.0_007_IMG_2898 | bwek-48_114.0_007_IMG_3473 | bwek-48_95.0_007CX020-07
bxap-49_15.0_007CX173-11,bxap-49_15.0_007CX173-11 | bxap-49_15.0_007_IMG_2985
bzbc-51_28.0_002080RJN0901,bzbc-51_28.0_002080RJN0901
bzdl-51_89.0_007_IMG_2910,bzdl-51_80.0_007CX185-11 | bzdl-51_89.0_007_IMG_2910
bzdm-51_90.0_007CX197-08,bzdm-51_90.0_007CX197-06 | bzdm-51_90.0_007CX197-08 | bzdm-51_90.0_007_IMG_2964 | bzdm-70_57.0_007CX197-07
caat-52_19.0_002080RJ4204,caat-52_19.0_002080RJ2523 | caat-52_19.0_002080RJ4204
cbal-53_11.0_002080RJ2214,cbal-53_11.0_002080RJ2214 | cbal-53_9.0_002080RJ0109
cbcb-53_53.0_007_IMG_2295,cbcb-53_53.0_007_IMG_2293 | cbcb-53_53.0_007_IMG_2295
cbch-19_58.0_007_IMG_3470,cbch-19_58.0_007_IMG_3470 | cbch-53_59.0_007_IMG_3260
ccax-54_23.0_007_IMG_3456,ccax-54_23.0_007_IMG_3456 | ccax-54_23.0_007_IMG_3474
ccay-73_72.0_007_IMG_3469,ccay-34_70.0_007_IMG_3465 | ccay-34_70.0_007_IMG_3794 | ccay-54_24.0_007_IMG_3466 | ccay-73_72.0_007_IMG_3469
cdah-55_5.0_007_IMG_2899,cdah-55_5.0_007_IMG_2899 | cdah-55_7.0_007_IMG_3458
cdai-55_6.0_007_IMG_3457,cdai-55_6.0_007_IMG_3457 | cdai-55_8.0_007_IMG_3462
ceaf-56_5.0_007A5P3F10-036,ceaf-56_5.0_007A5P3F10-036
cebl-56_37.0_007_IMG_2078,cebl-56_37.0_007_IMG_2078 | cebl-56_37.0_007_IMG_3525
cebv-56_47.0_007MFLS011,cebv-56_47.0_007MFLS011 | cebv-56_47.0_007_IMG_4069
cfam-57_12.0_007_IMG_1991,cfam-57_12.0_007_IMG_1991 | cfam-57_13.0_007_IMG_1992
chbe-59_30.0_001RO002009,chbe-59_30.0_001RO002009 | chbe-59_30.0_001RO0020091
chcq-59_68.0_007A5P3FG05-020,chcq-59_68.0_007A5P3FG05-020
chcv-59_73.0_007A5P4FP04-010,chcv-59_73.0_007A5P4FP04-009 | chcv-59_73.0_007A5P4FP04-010
chcz-59_77.0_007A6P4FP27-25,chcz-59_42.0_002058aFR004 | chcz-59_77.0_007A6P4FP27-25
chda-59_78.0_007A6P4FP27-33,chda-59_78.0_007A6P4FP27-33
chdu-59_98.0_013RJ009005,chdu-59_98.0_013RJ009005
clco-63_66.0_007_IMG_4087,clco-63_66.0_007_IMG_2345 | clco-63_66.0_007_IMG_4075 | clco-63_66.0_007_IMG_4087
cmcu-64_75.0_007_IMG_3541,cmcu-64_72.0_007_IMG_3353 | cmcu-64_75.0_007_IMG_3541
cmdc-64_80.0_007_IMG_2337,cmdc-64_80.0_007MFLS027 | cmdc-64_80.0_007_IMG_2337 | cmdc-64_80.0_007_IMG_4061
coda-66_78.0_013RJ001006,coda-66_78.0_013RJ001006 | coda-6_41.0_013RJ014004
coec-66_106.0_014GLAS113,coec-13_114.0_P002SAm52-0034 | coec-66_106.0_014GLAS113
cpbd-67_29.0_014GLAS012,cpbd-27_1.0_001ACL017012 | cpbd-27_34.0_007A5P4FP04-003 | cpbd-27_46.0_P002SAm52-0067 | cpbd-67_29.0_014GLAS012 | cpbd-75_38.0_007A5P4FP04-004
cqab-2_47.0_007A5P3FG05-009,cqab-2_47.0_007A5P3FG05-009 | cqab-68_1.0_001ACL017005
cqau-68_20.0_002008AV032,cqau-22_8.0_002008AV031 | cqau-68_20.0_002008AV032
cqdv-68_99.0_014GLAS107,cqdv-14_4.0_001ACL017015 | cqdv-68_99.0_014GLAS107
crau-69_20.0_0072430cx046-09,crau-69_20.0_0072430cx046-09
csbr-70_43.0_0072430cx031-11,csbr-3_71.0_007A6P1A02-022 | csbr-70_43.0_0072430cx031-11
ctau-71_20.0_0071824cx106-041,ctau-71_20.0_0071824cx106-041 | ctau-71_20.0_P002SAm52-0027
cvdc-73_80.0_014GL07,cvdc-73_4.0_001ACL017025 | cvdc-73_80.0_014GL07
cwdp-74_93.0_014GL16,cwdp-74_93.0_014GL16
cxbl-4_46.0_014GL36,cxbl-4_46.0_014GL36 | cxbl-75_0.0_001ACL017008 | cxbl-75_37.0_007A5P3FG05-011
